BRANCH OWNERSHIP,,,,
MEMBER,BRANCH,STATUS,,
Tomin,backend-api-gateway,Main backend branch,,
Lucas,backend-feature/auth-schemas,Active,,
Prabhnoor,config-error-handling,Active,,
William,feature/mock-services,Already merged into backend-api-gateway,,
,,,,
Bi-WEEKLY SPRINT 1: 23rd March - 3rd April,,,,
Backend,,,,
,WEEK 1: 23 - 28 March,,,
MEMBER,TASK,DESCRIPTION,OUTPUT
Tomin,Backend Architecture & Project Setup,"Define the backend architecture, create the project folder structure, set up the FastAPI application, establish main API routes and share the API contract with all teams.","Working FastAPI base project with organised folder structure, main.py, basic routes (/ and /health), and BACKEND_PLAN.txt shared with team"
Lucas,API Routes Implementation,"Create the backend route files for player, crowd, and test functionality and implement the initial API endpoints required for frontend and integration testing.","Route files created (players, crowd, test) with working endpoints /api/test, /api/players, and /api/crowd"
William,Mock Service Layer — Setup,"Create player_client.py and crowd_client.py returning mock JSON responses for player and crowd data. Add USE_MOCK_SERVICES flag to .env so mocks can be toggled on/off without code changes.","player_client.py and crowd_client.py created with structured mock JSON responses and USE_MOCK_SERVICES flag supported"
Prabhnoor,Configuration Setup,"Implement config.py to load all environment variables from .env using python-dotenv. Fill in .env with local dev values including USE_MOCK_SERVICES=true as default.",".env and config.py completed with all required environment variables including mock service toggle"
,,,,
,WEEK 2: 29 March - 3 April,,,
MEMBER,TASK,DESCRIPTION,OUTPUT
Tomin,CORS + Route Wiring + Frontend Checkpoint 1 + Contract Push,"Configure CORS in main.py to allow frontend on localhost:3000. Wire all completed routes into main.py. Share BACKEND_PLAN.txt and Swagger URL with frontend team. Send contract template to player and crowd teams and request confirmation of ports, endpoints, and response format. Review and merge all week 1 PRs.","CORS configured, all routes wired, API contract shared with frontend team, contract confirmation requested from player and crowd teams"
Lucas,Auth Schemas,"Implement schemas/auth.py (RegisterRequest, LoginRequest, AuthResponse, UserResponse) and schemas/health.py (HealthResponse).","Pydantic schemas ready for use in auth routes"
William,Mock Services Connected to Routes,"Connect player_client.py and crowd_client.py to the API routes. Verify mock responses return correctly through the gateway when USE_MOCK_SERVICES=true.","Mock services integrated and returning structured data through the routes"
Prabhnoor,Database Setup,"Implement database.py (PostgreSQL async connection via SQLAlchemy) and models.py (users and jobs table definitions). Set up local PostgreSQL and confirm connection works.","Working database connection with users and jobs tables created"
,,,,
,,,,
Bi-WEEKLY SPRINT 2: 4th - 17th April,,,,
Backend,,,,
,WEEK 3: 4 - 10 April,,,
MEMBER,TASK,DESCRIPTION,OUTPUT
Tomin,Auth Core Implementation + Contract Follow-up,"Implement auth/hashing.py (bcrypt password hashing) and auth/jwt.py (JWT token creation and validation). Implement RBAC dependencies get_current_user and require_admin. Chase up player and crowd teams for contract confirmation if not received. Review all PRs.","Working auth system with password hashing, JWT tokens, and role-based access control. Contract status known."
Lucas,Auth Routes,"Implement routes/auth.py with POST /auth/register, POST /auth/login, and GET /auth/me endpoints.","Auth endpoints working and returning correct responses"
William,Job Schemas,"Implement schemas/jobs.py with JobSummary, JobDetail, JobListResponse, and UploadResponse Pydantic models.","Job schemas ready for use in upload and job routes"
Prabhnoor,Global Error Handler & Logging Middleware,"Add global exception handler to main.py to catch all unhandled errors and return clean JSON. Add request logging middleware to log all incoming requests.","All unhandled errors return clean JSON responses, all requests logged"
,,,,
,WEEK 4: 11 - 17 April,,,
MEMBER,TASK,DESCRIPTION,OUTPUT
Tomin,Video Upload Route + Frontend Checkpoint 2,"Implement routes/upload.py to validate video format, save to uploads/, create a job in the database, and return job_id immediately. Wire route into main.py. Verify frontend can connect to /health and /auth/login — confirm CORS and connection working.","POST /upload working, job created in DB, frontend connection verified"
Lucas,Job Routes,"Implement routes/jobs.py with GET /status/{job_id}, GET /jobs, GET /jobs/{job_id}, POST /jobs/{job_id}/retry, and DELETE /jobs/{job_id} with RBAC enforced.","All job endpoints working with correct role-based access control"
William,Background Task — process_video(),"Implement process_video() background task using asyncio.gather to call player and crowd services in parallel. Respect USE_MOCK_SERVICES flag — use mock clients if true, real clients if false. Handle partial results if one service fails. Update job status in DB to done, partial, or failed.","Background processing working with mock toggle support, job status updated correctly"
Prabhnoor,Auth & Health Tests,"Write tests/test_auth.py (register, login, token validation) and tests/test_health.py.","Auth and health tests passing"
,,,,
,,,,
Bi-WEEKLY SPRINT 3: 17th April - 1st May,,,,
Backend,,,,
,WEEK 5: 17 - 24 April,,,
MEMBER,TASK,DESCRIPTION,OUTPUT
Tomin,Finalise API Contracts + Integration Decision,"Finalise confirmed contracts with player and crowd teams. Update BACKEND_PLAN.txt and .env with real service URLs. Decide whether to proceed with real integration or stay on mocks based on other teams' readiness. Review all PRs.","Contracts finalised, integration decision made, .env updated accordingly"
Lucas,Upload & Job Tests,"Write tests/test_upload.py (file format validation, job creation) and tests/test_jobs.py (job status, pagination, retry) using mocked service responses.","Upload and job tests passing with mocked services"
William,Real Service Integration (if contracts confirmed),"If player team contract is confirmed, update player_client.py to call real player service. Keep USE_MOCK_SERVICES flag — real client used only when flag is false. If contract not confirmed, keep mock and document blockers.","player_client.py supports both mock and real mode via USE_MOCK_SERVICES flag"
Prabhnoor,Real Service Integration (if contracts confirmed),"If crowd team contract is confirmed, update crowd_client.py to call real crowd service. Keep USE_MOCK_SERVICES flag — real client used only when flag is false. If contract not confirmed, keep mock and document blockers.","crowd_client.py supports both mock and real mode via USE_MOCK_SERVICES flag"
,,,,
,WEEK 6: 25 April - 1 May,,,
MEMBER,TASK,DESCRIPTION,OUTPUT
Tomin,Core Frontend Integration Checkpoint 3 + Demo Mode Prep,"Run full pipeline locally with both real and mock modes. Verify frontend can hit /upload and /status/{job_id} end-to-end. Confirm demo can run in Mode A (real services) or Mode B (mock fallback). Review and merge all integration PRs.","Both demo modes verified — Mode A with real services and Mode B with mock fallback"
Lucas,Route Error Handling,"Handle timeout errors from player and crowd services, return 400 for bad video formats, and return partial or failed status when a service is down.","All error cases handled with correct HTTP status codes and clean responses"
William,Retry Endpoint Testing,"Test POST /jobs/{job_id}/retry with a real partial failure scenario. Verify asyncio.gather handles one service failing correctly and only the failed service is retried.","Retry working correctly in real partial failure scenarios"
Prabhnoor,Integration Test Suite,"Run all tests against real services if available. If not, run against mocks. Fix any failures and document integration status clearly.","All tests passing, integration status documented"
,,,,
,,,,
Bi-WEEKLY SPRINT 4: 1st - 15th May,,,,
Backend,,,,
,WEEK 7: 1 - 8 May — BUFFER / CATCH-UP WEEK,,,
MEMBER,TASK,DESCRIPTION,OUTPUT
Tomin,Buffer — Fix Integration Issues or Start Docker,"If real service integration is behind, use this week to resolve blockers and stabilise integration. If integration is on track, begin Dockerfile and docker-compose.yml setup. Review all PRs.","Integration stable or Docker setup started depending on progress"
Lucas,Buffer — Fix Failing Tests or Docker Config,"Fix any remaining test failures or integration issues. If on track, swap .env URLs from localhost to Docker service names and begin Docker testing.","Tests passing or Docker config started"
William,Buffer — Service Client Fixes or Docker Testing,"Resolve any service client issues from integration. If on track, test player_client.py and crowd_client.py with Docker service names.","Service clients stable or Docker-ready"
Prabhnoor,Buffer — Test Suite Fixes or Docker Test Run,"Fix any outstanding test failures. If on track, run the full test suite inside Docker and fix any Docker-specific issues.","Test suite stable or passing inside Docker"
,,,,
,WEEK 8: 8 - 15 May,,,
MEMBER,TASK,DESCRIPTION,OUTPUT
Tomin,README + Final Demo Checkpoint 4,"Write README.md with local and Docker setup instructions. Do final review of all code. Run full end-to-end demo — attempt Mode A (real services) first, fall back to Mode B (mock) if needed. Coordinate final demo run with frontend and all teams.","Complete README, all code reviewed, demo confirmed working in at least one mode"
Lucas,Swagger Docs Polish,"Verify /docs looks clean and accurate. Add any missing response descriptions to all endpoints.","Clean and accurate Swagger UI at /docs"
William,Logging & Cleanup,"Add request and response logging to all service clients. Clean up any leftover debug code.","All service client calls logged, codebase clean"
Prabhnoor,Final Test Run & Cleanup,"Run the complete test suite one final time. Ensure all tests pass. Remove any leftover debug code.","All tests green, codebase clean and demo-ready"
